Altitude,Theta,Hour,Month,Day,GSD,North,South,West,East,Background Temperature
452.0461736138504,4.258866384057457,02:00,5,30,74.51310554074456,40.829036,40.828186,14.144178386193518,14.145552386193518,291.905029296875
445.7805896201317,9.138862577163067,15:00,5,30,73.48031697035138,40.829036,40.828186,14.14419064737928,14.14556464737928,294.235595703125
445.5230353869892,24.02116678655493,15:00,5,30,73.43786297587734,40.829036,40.828186,14.144191151389808,14.145565151389809,294.235595703125
449.2869791350713,18.840446102736816,02:00,6,4,74.05829326402274,40.829036,40.828186,14.144183785689574,14.145557785689574,291.556640625
447.8006065575855,18.736321132246683,02:00,6,7,73.81328679520641,40.829036,40.828186,14.144186694387358,14.145560694387358,293.78857421875
447.9582411091496,22.171506484960837,02:00,6,7,73.83927051249718,40.829036,40.828186,14.144186385910682,14.145560385910684,293.78857421875
448.254337535941,14.104132996888865,15:00,6,7,73.88807761581444,40.829036,40.828186,14.14418580647654,14.14555980647654,296.92724609375
448.1110439794265,14.002341105825142,15:00,6,7,73.86445779880655,40.829036,40.828186,14.144186086889174,14.145560086889176,296.92724609375
445.7894223909243,17.250755080744092,02:00,6,12,73.48177292158093,40.829036,40.828186,14.144190630094338,14.145564630094338,294.28125
446.0135668243229,12.570913083638104,02:00,6,12,73.51871980620706,40.829036,40.828186,14.14419019146379,14.14556419146379,294.28125
450.485750746846,18.36067942329272,15:00,6,12,74.25589298024934,40.829036,40.828186,14.144181439801075,14.145555439801075,296.82470703125
452.0847317080488,23.205504370892832,15:00,6,15,74.5194612705575,40.829036,40.828186,14.144178310738788,14.145552310738788,295.791259765625
452.0021768746028,19.12248955928098,15:00,6,15,74.50585333097848,40.829036,40.828186,14.144178472291191,14.145552472291191,295.791259765625
444.4591142354611,11.004574189027432,02:00,6,20,73.26249135749357,40.829036,40.828186,14.14419323338805,14.14556723338805,296.396240234375
444.8367575650354,21.15394154741657,02:00,6,20,73.32474025797286,40.829036,40.828186,14.144192494373934,14.145566494373934,296.396240234375
454.755401892412,14.220564318409467,15:00,6,20,74.95968163061737,40.829036,40.828186,14.144173084476837,14.145547084476837,301.2216796875
454.6737119601003,13.602915111320453,15:00,6,20,74.94621625715939,40.829036,40.828186,14.144173244336704,14.145547244336704,301.2216796875
